total,bed,bath,square,lot,price,type,built,garage,address,city,state,zip,elementary school,middle school,high school,Collateral,CoreLogic,Quantarium
"4,200,000",8,,7200,3236,583,Multi-Family Home,1900,3 Cars,176-178 Page St,San Francisco,CA,94102,Not rated,2,6,$1851000 $1802064 $1873233,$2593100 - $2567900,$2404869 $2123874 $2428671
"1,485,000",2,2,1100,22651,"1,350",Condo,2014,1 Car,300 Ivy St Apt 312,San Francisco,CA,94102,Not rated,2,6,$1443000 $1229343 $1277894,,$1393492 $1217410 $1213049
"2,250,000",10,,3108,1707,724,Multi-Family Home,1900,,188-190 Guerrero St,San Francisco,CA,94103,2,2,4,$2160000 $1896314 $2204757,$1838900 $1498600 $1897800,$1869626 $1664132 $1902951
"1,399,000",2,2.5,1930,,725,Condo,2000,1 Car,725 Tehama St Unit 3,San Francisco,CA,94103,Not rated,2,5,$1491000 $1142108 $1327877,,$1415477 $1249816 $1273104
"1,195,000",2,2.5,1537,,777,Condo,1999,2 Cars,786 Minna St Apt 8,San Francisco,CA,94103,Not rated,2,5,$1258000 $1143008 $1328923,,$1220363 $1240076 $1242719
"1,095,000",2,2,1161,,943,Condo,2001,1 Car,590 6th St Apt 211,San Francisco,CA,94103,Not rated,2,5,$1134000 $1038608 $1207542,,$1143357 $1165112 $1176763
"769,000",2,2,796,,966,Condo/Townhome/Row Home/Co-Op,2013,1 Car,537 Natoma St Unit 204,San Francisco,CA,94103,Not rated,2,5,$1046000 $946807 $1100809,,$951350 $1018313 $947081
"1,195,000",3,1,1320,,905,Condo,1907,1 Car,84 Elgin Park,San Francisco,CA,94103,,,,$2102000 $2383217 $2770858,$1286900 $1818700 $1189000,$2042187 $1817727 $2078589
"1,349,000",2,1,1547,,872,Condo,1996,1 Car,245 5th St Ste 311,San Francisco,CA,94103,2,2,5,$1202000 $946807 $1100809,,$1367381 $1223603 $1399202
"779,000",1,1,863,,903,Condo,1995,1 Car,161 Gilbert St Apt 11,San Francisco,CA,94103,Not rated,2,5,$798000 $829806 $964778,$854600 $841300 $899200,$800857 $857064 $837518
